npdes_id,frs_id,city,state,zip,watershed_huc12,latitude,longitude,facility_type,major_minor_facility,cso_outfall_count,median_household_income,poverty_rate,white_alone
AK0023213,110010680423,JUNEAU,AK,99801-7701,190103010606,58.286844,-134.382646,POTW,M,3,88390,7.7,68
CA0079111,110009542192,SACRAMENTO,CA,95822,180201630701,38.52324,-121.524678,POTW,M,6,62335,16.6,46.3
CA0037664,110043091301,SAN FRANCISCO,CA,94124-1601,180500041001,37.740278000000004,-122.390278,POTW,M,36,112449,10.3,46.4
CT0101010,110000759518,BRIDGEPORT,CT,06607-1628,11000060303,41.171486,-73.174556,POTW,M,47,46662,21.8,40.4
CT0100251,110010052904,HARTFORD,CT,06114-2101,10802050505,41.731389,-72.656389,POTW,M,38,36278,28.1,31.3
CT0100366,110001730770,NEW HAVEN,CT,06512-1813,11000040208,41.282563,-72.902505,POTW,M,24,69905,11.7,73.3
CT0100412,110033215660,NORWICH,CT,6360,11000030103,41.526191,-72.084583,POTW,M,16,57052,13.1,68.7
DC0021199,110029030144,WASHINGTON,DC,20032-5212,20700100301,38.813724,-77.027199,POTW,M,54,86420,16.2,41.3
DE0020320,110006523770,WILMINGTON,DE,19809,20402040000,39.72954,-75.504334,POTW,M,40,45032,26,35.6
GA0036854,110009140116,ALBANY,GA,0,31300080102,31.564389,-84.145222,POTW,N,8,36615,30.8,22.1
GA0038644,110020834533,ATLANTA,GA,30305,31300011204,33.800057,-84.39657,POTW,N,4,59948,20.8,40.9
GA0036838,110010039804,COLUMBUS,GA,31902-1600,31300030104,32.445889,-84.982028,POTW,N,2,46408,20.7,43.3
IA0043079,110005759465,BURLINGTON,IA,52601,70801041502,40.79864,-91.09842,POTW,M,12,47540,20.7,87.4
IA0035947,110001123203,CLINTON,IA,52732,70801010204,41.864194,-90.177472,POTW,M,10,51688,13.1,93.6
IA0044130,110011869246,DES MOINES,IA,50317-1346,71000081503,41.57364,-93.55782,POTW,M,1,53525,16.1,75.8
IA0027219,110002040666,FORT MADISON,IA,52627-4248,70801041705,40.628528,-91.304389,POTW,M,9,42694,15.9,93.7
IA0042609,110043869016,KEOKUK,IA,52632,70801041806,40.389278,-91.381833,POTW,M,9,39779,21.5,88.9
IA0020842,110010036825,LAKE CITY,IA,51449,71000060605,42.271142,-94.756301,POTW,N,1,46853,19,96.3
IA0023434,110000789479,MUSCATINE,IA,527610000,70801010701,41.407499,-91.071913,POTW,M,5,58453,9.6,90.4
IA0058611,110001362034,OTTUMWA,IA,52501-3508,71000090709,41.005472,-92.401528,POTW,M,10,41722,16.6,83.2
IA0021059,110009360609,SPENCER,IA,51301,102300030804,43.137778,-95.144167,POTW,M,4,46545,12.1,95.5
IA0047961,110010033089,WAPELLO,IA,526530000,70802091104,41.17402,-91.17779,POTW,N,2,66429,8.2,91.2
IL0027367,110018293746,ADDISON,IL,60101-4059,71200040404,41.920908,-87.975131,POTW,M,1,67337,12.4,68.5
IL0027464,110000759625,ALTON,IL,62002-2048,71100090304,38.884948,-90.134744,POTW,M,6,40211,26.6,70
ILM580006,110014449392,ARLINGTON HEIGHTS,IL,60005-1403,71200040505,42.08171,-87.98048,NON-POTW,N,1,96340,4,84.2
IL0048518,110006769327,AURORA,IL,60505-3302,71200070106,41.756477,-88.314698,NON-POTW,N,16,71749,11.4,59.5
IL0025135,110000880681,BEARDSTOWN,IL,62618-1408,71300031102,40.0107,-90.4407,POTW,M,1,40750,24.3,80.1
IL0021873,110000877668,BELLEVILLE,IL,62220-2105,71402040602,38.51261,-89.98423,POTW,M,15,48099,14.1,67.9
IL0072001,110006767926,BLOOMINGTON,IL,61701-5217,71300090701,40.47703,-88.9927,NON-POTW,N,15,67507,12.6,77.7
ILM580031,110014449711,BLUE ISLAND,IL,60406-2331,71200030403,41.655993,-87.682577,NON-POTW,N,5,48398,17.7,48.5
ILM580032,110014449720,BROOKFIELD,IL,60513-1688,71200040404,41.82251,-87.84276,NON-POTW,N,6,82435,7.1,84.8
IL0033120,110009987461,BUREAU JUNCTION,IL,61315-0140,71300010703,41.286667,-89.363333,POTW,N,1,53750,16.9,99.6
ILM580018,110014449542,BURNHAM,IL,60633-2081,71200030407,41.63175,-87.556037,NON-POTW,N,3,46394,17.1,30.3
IL0023825,110001104037,CAIRO,IL,62914,51402060704,37.0183,-89.1781,POTW,M,3,26439,34,29.4
ILM580025,110014449631,CALUMET CITY,IL,60409-4115,71200030407,41.61553,-87.529988,NON-POTW,N,7,44456,18,22.8
ILM580016,110014449524,CALUMET PARK,IL,60827-5819,71200030407,41.668381,-87.653766,NON-POTW,N,1,48092,17.3,9.5
IL0027839,110018343050,CANTON,IL,61520,71300051301,40.5461,-90.0436,POTW,M,2,44299,19.4,88.3
IL0022675,110010022475,CARLINVILLE,IL,62626-1966,71300120109,39.268,-89.877,POTW,M,1,43693,23.3,91.4
IL0035084,110018324295,CASEY,IL,62420,51201121003,39.299579,-87.99192,POTW,N,1,43869,10.5,97.2
IL0045012,110005853932,CHICAGO,IL,60602-1202,71200030107,41.88383,-87.63245,NON-POTW,N,244,58247,18.4,50
IL0028053,110018265642,CICERO,IL,60804-4112,71200040705,41.82159,-87.77285,POTW,M,15,49367,16.2,34.1
IL0028231,110009735386,COWDEN,IL,62422,71402011103,39.2433,-88.8583,POTW,N,1,36250,22.7,95.6
IL0028321,110000578544,DECATUR,IL,62522-1842,71300060801,39.84004,-89.00085,POTW,M,4,42701,22.1,71.2
ILM580026,110014449659,DES PLAINES,IL,60016-4498,71200040505,42.042135,-87.888738,NON-POTW,N,3,69760,8.5,77.6
ILM580011,110018343256,DIXMOOR,IL,60426,71200030405,41.62625,-87.657216,NON-POTW,N,1,49668,20,40.1
IL0026450,110000736534,DIXON,IL,61021,70900050606,41.83587,-89.51025,POTW,M,4,47171,14.5,83.9
ILM580017,110015317744,DOLTON,IL,60419-1029,71200030407,41.640175,-87.609945,NON-POTW,N,3,46614,22.3,4.8
IL0020877,110018172109,EARLVILLE,IL,60518,71200070504,41.583056,-88.92,POTW,N,1,54301,9.3,97.3
IL0033472,110009987522,EAST ST LOUIS,IL,62201,71401010403,38.611667,-90.181667,NON-POTW,N,7,24343,33.4,2
IL0028622,110000720275,EFFINGHAM,IL,62401,51201140203,39.10938,-88.53276,POTW,M,3,47582,15.6,94.4
IL0070505,110003052320,ELGIN,IL,60120-5555,71200061206,42.03957,-88.284303,NON-POTW,N,12,69041,11.3,61.8
ILM580002,110000548694,EVANSTON,IL,60201-2452,40400020502,42.061667,-87.675556,NON-POTW,N,15,78904,13.3,66.6
IL0021601,110009989218,FAIRBURY,IL,61739-0228,71300020205,40.7469,-88.5149,POTW,N,11,54833,12.9,97.1
IL0022462,110009735368,FARMER CITY,IL,61842,71300090105,40.23707,-88.64988,POTW,N,2,58400,15.6,95.6
ILM580019,110014449551,FOREST PARK,IL,60130,71200040506,41.87466,-87.81425,NON-POTW,N,2,62664,9.7,57.9
ILM580029,110039417878,FRANKLIN PARK,IL,60131-2763,71200040506,41.93684,-87.86383,NON-POTW,N,4,63971,9.3,77.9
IL0023141,110006645078,GALESBURG,IL,61401,70801040801,40.9401,-90.4222,POTW,M,38,36547,21.4,78.4
IL0022322,110009989021,GEORGETOWN,IL,61846,51201081101,39.9792,-87.6267,POTW,N,1,46455,16.1,93.5
IL0023281,110006770208,GIBSON CITY,IL,60936,71300060104,40.4569,-88.3835,POTW,N,1,44973,16.4,97.4
IL0072389,110015661586,GOLF,IL,60029,71200030103,42.058611,-87.787778,POTW,N,1,237750,1,92.5
IL0050717,110009985846,GRANT PARK,IL,60940,71200011402,41.2313,-87.645,POTW,N,2,60000,11.2,93.9
IL0022331,110006770253,GRANVILLE,IL,61326-9333,71300010804,41.2609,-89.2281,POTW,N,4,60536,9.7,96.7
IL0021423,110013765568,HARTFORD,IL,62048-1246,71100090403,38.832742,-90.098775,NON-POTW,N,1,54563,14.2,99.2
ILM580020,110014449560,HARVEY,IL,60426-3305,71200030405,41.611369,-87.64458,NON-POTW,N,7,30306,32.8,21.5
IL0023388,110006770226,HAVANA,IL,62644,71300031002,40.288,-90.0715,POTW,N,2,40417,17.3,98.1
IL0066818,110018330386,HINSDALE,IL,60521-3489,71200040701,41.803665,-87.928921,NON-POTW,N,4,203368,2.2,84.8
IL0021661,110006645096,JACKSONVILLE,IL,62650,71300110402,39.6886,-90.2089,POTW,M,2,43976,16.5,84.2
IL0022519,110009689756,JOLIET,IL,60436-2744,71200040603,41.507092,-88.090627,POTW,M,9,70509,10.9,66.4
ILM580008,110005802916,LA GRANGE PARK,IL,60525,71200040404,41.822335,-87.873757,NON-POTW,N,6,105783,4.6,89.8
ILM580009,110014449454,LAGRANGE,IL,60525-2487,71200040404,41.813783,-87.869587,NON-POTW,N,3,82292,4.1,91.2
ILM580027,110014449668,LANSING,IL,60438,71200030203,41.56475,-87.54417,NON-POTW,N,1,53940,15.5,48.3
IL0029424,110000731673,LASALLE,IL,61301,71200050802,41.3239,-88.705,POTW,M,3,49792,19.6,89.6
IL0029467,110000873314,LAWRENCEVILLE,IL,62439,51201121504,38.7215,-87.6735,POTW,M,4,40438,25.4,93.2
IL0021563,110009989209,LE ROY,IL,61752,71300090202,40.33829,-88.7596,POTW,N,1,73950,14.1,99.5
IL0039551,110006769531,LEMONT,IL,60439,71200040705,41.6725,-88.004167,NON-POTW,N,3,99724,4.9,95.1
IL0029564,110000731691,LINCOLN,IL,62656-3063,71300090511,40.139306,-89.373997,POTW,M,2,48931,12.8,90.9
ILM580034,110014449757,LINCOLNWOOD,IL,60712-2606,71200030104,42.00661,-87.7328,NON-POTW,N,2,95030,6.2,63.4
IL0020621,110025186732,LITCHFIELD,IL,62056,71402030106,39.174242,-89.63748,POTW,M,1,50368,18.2,96.8
IL0022471,110009694349,LOMBARD,IL,60148,71200040803,41.876667,-88.035,POTW,N,2,82461,6.3,77.2
ILM580004,110014451306,LYONS,IL,60534-1216,71200040706,41.82015,-87.81572,NON-POTW,N,3,60168,11.8,78.8
ILM580028,110014449677,MARKHAM,IL,60426,71200030405,41.59724,-87.66315,NON-POTW,N,1,43011,19,14.5
IL0021059,110000731441,MARSEILLES,IL,61341,71200050803,41.329632,-88.722196,POTW,M,1,58750,15.3,96.8
IL0068365,110009983438,MARSHALL,IL,62441,51201110804,39.4067,-87.6883,POTW,N,2,45703,18.1,98.6
IL0029815,110009988004,MASON CITY,IL,62664,71300090803,40.1683,-89.685,POTW,N,1,39485,22,99.3
IL0029831,110006520880,MATTOON,IL,61938,51201120603,39.4752,-88.3594,POTW,M,4,39852,22.2,96.6
ILM580022,110014449597,MAYWOOD,IL,60153,71200040506,41.889404999999996,-87.839276,NON-POTW,N,8,50176,15.9,18.2
ILM580003,110014451280,MELROSE PARK,IL,60160-3635,71200040403,41.891838,-87.861444,NON-POTW,N,1,50870,17.2,58.1
IL0029874,110000731726,METROPOLIS,IL,62960-1869,51402060701,37.15367,-88.73889,POTW,M,1,35855,24.4,89.5
IL0023272,110009988905,MILFORD,IL,60953,71200020707,40.6233,-87.6867,POTW,N,4,46786,12.7,92.8
IL0037818,110009987005,MINONK,IL,61760,NA,40.9127,-89.0342,POTW,N,1,54932,8.4,98.6
IL0021253,110009009232,MONMOUTH,IL,61462,70801040801,40.923351,-90.636844,POTW,M,6,44037,16.4,83.7
IL0021113,110018338262,MORRIS,IL,60450,71200050601,41.363611,-88.426667,NON-POTW,M,5,63562,10.8,92.6
IL0030015,110039921369,MORTON,IL,61550,71300040801,40.5711,-89.4592,POTW,M,2,77214,4.6,95.4
ILM580005,110014451315,MORTON GROVE,IL,60053-2902,71200030105,42.03817,-87.77966,NON-POTW,N,2,85360,7.1,60.1
ILM580035,110014449775,NILES,IL,60714-3229,71200030105,42.025548,-87.801278,NON-POTW,N,8,64772,9.2,72.5
ILM580030,110014449702,NORTH RIVERSIDE,IL,60546-1584,71200040506,41.84562,-87.82297,NON-POTW,N,2,59340,5.8,73.5
IL0024996,110010022242,OGLESBY,IL,61348,71300020906,41.2982,-89.0548,POTW,N,7,60508,8.2,92.8
IL0020184,110009989469,OREGON,IL,61061,70900050408,42.00578,-89.32806,POTW,N,3,51875,14.5,96.5
IL0020818,110028019542,OSWEGO,IL,60543,71200070109,41.715639,-88.352871,POTW,M,1,102110,1.5,82
IL0030384,110001104126,OTTAWA,IL,61350,71300010201,41.33958,-88.84774,POTW,M,14,51288,17.1,89.8
ILM580014,110014449506,PARK RIDGE,IL,60068-4182,71200040505,42.008636,-87.830369,NON-POTW,N,4,111642,3.8,90.3
IL0034495,110000759643,PEKIN,IL,61554-4050,71300030304,40.56435,-89.658624,POTW,M,4,50973,14.9,95.1
IL0037800,110018287655,PEORIA,IL,61602-1217,71300011705,40.69273,-89.59264,NON-POTW,N,16,51771,19.7,60.1
IL0030660,110000561035,PERU,IL,61354,71300010804,41.32635,-89.11426,POTW,M,22,51321,10.3,95.3
IL0072834,110015723092,PHOENIX,IL,60426-2351,71200030405,41.61248,-87.63589,NON-POTW,N,1,36906,22.1,14.9
IL0030457,110000873369,PONTIAC,IL,61764,71300020603,40.877222,-88.646111,POTW,M,5,45285,18.4,86.4
ILM580037,110006769620,POSEN,IL,60469-1344,71200030404,41.626315,-87.680291,NON-POTW,N,1,42370,22.9,67.2
IL0043061,110006679040,PROPHETSTOWN,IL,61277,70900050804,41.6756,-89.9194,POTW,N,2,49152,10.2,96.2
IL0030503,110000704113,QUINCY,IL,62305-8956,71100040301,39.901389,-91.416667,POTW,M,6,46189,15.2,90
ILM580024,110014449622,RIVER FOREST,IL,60305-1726,71200040506,41.88684,-87.81955,NON-POTW,N,2,129928,3.6,85.2
ILM580021,110014449579,RIVER GROVE,IL,60171-1612,71200040506,41.927248,-87.835688,NON-POTW,N,6,59814,10.2,83.4
ILM580007,110014449418,RIVERDALE,IL,60827-2328,71200030405,41.638828,-87.641514,NON-POTW,N,4,35711,26.3,7
ILM580015,110014449515,RIVERSIDE,IL,60546-2278,71200040706,41.826632,-87.818937,NON-POTW,N,4,111657,4.6,87.4
IL0030783,110018321920,ROCK ISLAND,IL,61201,70801010406,41.500139,-90.597167,POTW,M,6,54858,14,80.2
ILM580013,110018141045,SCHILLER PARK,IL,60176-1984,71200040506,41.95467,-87.86489,NON-POTW,N,1,54099,15.9,79.2
IL0028088,110001289882,SKOKIE,IL,60076-4013,71200030104,42.020168,-87.717003,POTW,M,12,73046,9.4,57.1
ILM580010,110014449463,SOUTH HOLLAND,IL,60473-2156,71200030405,41.600582,-87.61001,NON-POTW,N,5,63170,11.3,13.6
IL0031216,110000877917,SPRING VALLEY,IL,61362,71300010802,41.324158,-89.199888,POTW,M,9,50814,13.2,85.5
IL0021989,110000554819,SPRINGFIELD,IL,62707-8480,71300080403,39.843784,-89.644818,POTW,M,10,54648,18.6,72.9
ILM580023,110014449604,STICKNEY,IL,60402-4048,71200040705,41.821428,-87.786476,NON-POTW,N,1,65257,8.1,67.9
IL0022004,110018173439,STREATOR,IL,61364,71300020805,41.128333,-88.85,POTW,M,16,39736,21,91.2
ILM580033,110014449748,SUMMIT,IL,60501-1419,71200040705,41.784538,-87.80409,NON-POTW,N,4,47377,17.3,61.6
IL0031356,110000880459,TAYLORVILLE,IL,62568-7867,71300070501,39.56013,-89.3337,POTW,M,2,39979,15.5,95.6
IL0033618,110009987540,VILLA PARK,IL,60181,71200040404,41.881667,-87.96,POTW,N,4,77739,8.5,84.6
IL0022161,110018202121,WATSEKA,IL,60970,71200021001,40.781909,-87.736462,POTW,M,6,39281,14.2,95.9
IL0021792,110009989254,WENONA,IL,61377,71300010901,41.057224,-89.058889,POTW,N,1,44444,17.4,97.9
IL0045039,110009986649,WESTERN SPRINGS,IL,60558,71200040404,41.825,-87.895,NON-POTW,N,4,174760,3.9,96.5
ILM580012,110014449481,WILMETTE,IL,60091,71200030104,42.07058,-87.68278,NON-POTW,N,1,164681,3.1,83.1
IL0031852,110001104117,WOOD RIVER,IL,62095,71100090403,38.854718,-90.10334,POTW,M,1,46860,21,92.4
IN0025232,110009978809,AKRON,IN,46910,51201060407,41.0325,-86.033944,POTW,N,3,55221,23.2,74.2
IN0020044,110000731904,ALEXANDRIA,IN,46001,51202010405,40.26312,-85.70462,POTW,M,3,55330,25.3,98.3
IN0032476,110006645434,ANDERSON,IN,46011,51202010310,40.112694,-85.717389,POTW,M,17,37038,23.8,78
IN0021296,110000866689,ANGOLA,IN,46703,40500011002,41.627417,-84.982389,POTW,M,3,47878,10.6,92.5
IN0020222,110009738962,ATTICA,IN,47918,51201080603,40.290806,-87.255472,POTW,N,2,49167,15.9,96.9
IN0020672,110000568065,AUBURN,IN,46706-3503,41000030604,41.34877,-85.06132,POTW,M,1,50180,12.3,98.2
IN0021369,110006766767,BERNE,IN,46711,41000040402,40.667972,-84.946917,POTW,N,3,45185,16.3,92.5
IN0022411,110000544260,BLUFFTON,IN,467142015,51201010802,40.748139,-85.173139,POTW,M,1,47593,12.8,95.6
IN0022420,110010758359,BOONVILLE,IN,47601,51402011101,38.047778,-87.290111,POTW,M,2,43060,12.1,94.2
IN0021245,110006645489,BROWNSBURG,IN,46112,51202011302,39.838611,-86.406389,POTW,M,2,78877,3.5,89
IN0022462,110003127642,BUTLER,IN,46721,41000030502,41.430683,-84.86303,POTW,M,1,57344,17,95.3
IN0022535,110006766552,CENTERVILLE,IN,47330,50800030303,39.825606,-85.005271,POTW,N,1,47045,17.4,94.6
IN0022560,110028082036,CHESTERFIELD,IN,46017,51202010308,40.11345,-85.59313,POTW,N,1,44476,14.6,97.7
IN0022578,110000732002,CHESTERTON,IN,46304,40400010403,41.619,-87.064,POTW,M,1,73977,8.6,91.8
IN0022608,110005973937,CLINTON,IN,47842-2420,51201081607,39.654,-87.397778,POTW,M,6,54286,12.5,91.6
IN0022624,110005973946,COLUMBIA CITY,IN,46725-1916,51201040104,41.15736,-85.475,POTW,M,12,47075,13.7,96
IN0032573,110000569590,COLUMBUS,IN,47201,51202050606,39.198056,-85.923611,POTW,M,3,63405,13.8,79.7
IN0032336,110000736703,CONNERSVILLE,IN,47331-1926,50800030404,39.643389,-85.132594,POTW,M,5,34201,26.8,94.6
IN0032964,110000732093,CRAWFORDSVILLE,IN,47933-1235,51201100604,40.047083,-86.900833,POTW,M,2,44077,17.2,92.2
IN0022683,110006766561,CROTHERSVILLE,IN,47229,51202070606,38.790417,-85.849,POTW,N,4,48958,11.8,98.7
IN0025763,110006645498,CROWN POINT,IN,46307,40400010502,41.435,-87.358444,POTW,M,5,76927,5.8,87.5
IN0039314,110006645513,DECATUR,IN,46733,41000040408,40.84813,-84.92868,POTW,M,4,45149,13.9,95.2
IN0022829,110006645531,EAST CHICAGO,IN,46312-3838,71200030407,41.61901,-87.48075,POTW,M,3,32839,32.3,23.9
IN0021652,110009975205,EATON,IN,47338-9434,51201030404,40.346382,-85.354331,POTW,N,2,42014,13.4,97.6
IN0025674,110000573237,ELKHART,IN,46516-1521,40500012202,41.676583,-86.003833,POTW,M,39,40750,21.9,76.4
IN0032719,110002041175,ELWOOD,IN,46036,51202010502,40.2679,-85.8499,POTW,M,15,41777,19.1,97.8
IN0033073,110003090315,EVANSVILLE,IN,47713,51402020401,37.9573,-87.573,POTW,M,8,40178,21.8,80.6
IN0021105,110006766678,FAIRMOUNT,IN,46928,51201030504,40.42266,-85.649314,POTW,N,16,44688,19.6,95.7
IN0020958,110006679905,FORTVILLE,IN,46040,51202010808,39.934,-85.8621,POTW,N,12,63785,3,93.1
IN0022934,110000576573,FRANKFORT,IN,46041,51201070305,40.298806,-86.506806,POTW,M,1,41120,17.8,87.1
IN0032191,110009390756,FT WAYNE,IN,46803-1413,41000050102,41.079167,-85.103889,POTW,M,31,49411,16,73.4
IN0022977,110009284540,GARY,IN,46406-1759,71200030406,41.606528,-87.384083,POTW,M,13,31936,30.6,15.3
IN0025755,110000732075,GOSHEN,IN,46528-2532,40500011904,41.59683,-85.85229,POTW,M,1,48626,15.9,87.3
IN0020133,110006545051,GREENSBURG,IN,47240,51202060301,39.326722,-85.486306,POTW,M,1,54099,9.7,94.9
IN0023060,110020660578,HAMMOND,IN,46320,71200030407,41.622194,-87.513083,POTW,M,20,46406,22.1,49.5
IN0021628,110006645611,HARTFORD CITY,IN,47348,51201030301,40.4354,-85.384,POTW,M,17,34850,15.9,98
IN0023132,110000759689,HUNTINGTON,IN,46750,51201011104,40.8735,-85.514194,POTW,M,15,43955,15.3,95.4
IN0023183,110011829129,INDIANAPOLIS,IN,46221-2009,51202011205,39.7269,-86.1929,POTW,M,133,47873,18,60.9
IN0023302,110000552786,JEFFERSONVILLE,IN,47130-7708,51401010904,38.286694,-85.74375,POTW,M,16,56223,10.2,80
IN0020656,110005973900,KENDALLVILLE,IN,46755-1469,40500011504,41.4471,-85.27158,POTW,M,1,43073,10.6,93.6
IN0032875,110000574496,KOKOMO,IN,46901-6121,51201070109,40.47635,-86.1507,POTW,M,30,45797,18.6,83.7
IN0025577,110000554276,LA PORTE,IN,46350-6745,71200010403,41.585492,-86.680344,POTW,M,1,41231,19.1,87
IN0032468,110003069660,LAFAYETTE,IN,47909-1002,51201080203,40.402917,-86.907039,POTW,M,15,46374,16.7,83.8
IN0023582,110001123828,LIGONIER,IN,46767,40500011802,41.466812,-85.59777,POTW,M,6,47730,8,93.5
IN0023604,110000732020,LOGANSPORT,IN,46947,51201050104,40.74764,-86.38768,POTW,M,16,37670,20.2,73.2
IN0023621,110000732039,LOWELL,IN,46356-9580,71200011306,41.264306,-87.4175,POTW,M,1,67148,4.9,93
IN0025666,110000570132,MADISON,IN,47250,51401010302,38.73758,-85.39569,POTW,M,7,49522,16.5,87.7
IN0025585,110000578866,MARION,IN,46952-2158,51201030601,40.5795,-85.6587,POTW,M,9,32977,25.7,78.7
IN0023752,110000732048,MICHIGAN CITY,IN,46360,40400010105,41.716762,-86.884247,POTW,M,2,40631,24.6,61.8
IN0020770,110040094260,MIDDLETOWN,IN,47356,51202010803,40.052336,-85.537326,POTW,N,3,51581,15.3,96.7
IN0025640,110010455364,MISHAWAKA,IN,46544,40500012205,41.661056,-86.192417,POTW,M,19,43248,15.7,83.1
IN0020176,110003137837,MONTICELLO,IN,47960,51201061304,40.736,-86.755917,POTW,M,5,43182,10.9,87.1
IN0020117,110009975492,MONTPELIER,IN,47359,51201020301,40.5508,-84.8961,POTW,N,4,39313,20,89.9
IN0035696,110002082022,MOUNT VERNON,IN,47620,51402020605,37.924083,-87.910639,POTW,M,3,52031,17.5,90.1
IN0025631,110000565022,MUNCIE,IN,47304-4710,51202010305,40.185139,-85.440194,POTW,M,25,33944,31,83.1
IN0021466,110000731986,"NAPPANEE",IN,46550,40500011706,41.446028,-85.98575,POTW,M,13,55125,8.4,92.5
IN0023914,110005973964,NEW CASTLE,IN,47362-1226,51202040103,39.913377,-85.394362,POTW,M,8,38545,22.5,95.1
IN0020346,110009738971,NEW HAVEN,IN,46774,41000050102,41.080472,-85.007694,POTW,N,4,51306,8.8,94.3
IN0020168,110006645719,NOBLESVILLE,IN,46060-3254,51202010705,40.038035,-86.020438,POTW,M,7,82218,6.5,89.5
IN0020877,110009975456,NORTH JUDSON,IN,46366-1060,71200010604,41.223083,-86.77575,POTW,N,2,48750,18.8,98.5
IN0020362,110000731931,NORTH MANCHESTER,IN,46962,51201040407,41.003434,-85.774881,POTW,M,8,52319,11.5,92.2
IN0020451,110000759661,NORTH VERNON,IN,47265,51202070404,39.003728,-85.614227,POTW,M,2,49178,14.9,93.8
IN0021342,110012139300,OXFORD,IN,47971,51201080407,40.512611,-87.229111,POTW,N,1,49659,10.3,99.5
IN0024023,110009974974,PAOLI,IN,47454,51202081302,38.590694,-86.490611,POTW,N,8,37449,17.6,97
IN0032328,110006367074,PERU,IN,46970,51201011602,40.745194,-86.072194,POTW,M,16,39267,22.6,87.4
IN0021202,110000731977,PLAINFIELD,IN,46168,51202011306,39.691194,-86.395194,POTW,M,5,61046,9.1,81.7
IN0020991,110000736650,PLYMOUTH,IN,46563-3021,71200010502,41.3325,-86.322222,POTW,M,10,37610,24.7,87.9
IN0020095,110006645728,PORTLAND,IN,47371-8228,51201020102,40.4166,-84.9816,POTW,M,16,38281,15.5,93.5
IN0024406,110009979149,REDKEY,IN,47373,51201030205,40.344944,-85.153889,POTW,N,6,34046,21.2,96.6
IN0024414,110006645746,RENSSELAER,IN,47978,71200020305,40.923722,-87.175778,POTW,M,17,48162,11.7,93.7
IN0025615,110003070836,RICHMOND,IN,47374,50800030707,39.806955,-84.908443,POTW,M,6,39724,20.3,83.5
IN0020001,110009738855,RIDGEVILLE,IN,47380,51201030203,40.286556,-85.023194,POTW,N,3,37625,23.7,96.5
IN0021067,110009975296,ROCKPORT,IN,47635,51402010805,37.889167,-87.046389,POTW,N,1,41357,22.2,91.6
IN0020907,110006679898,ROSSVILLE,IN,46065,51201070204,40.42456,-86.59495,POTW,N,2,51935,10.3,98.1
IN0020125,110006766918,ROYAL CENTER,IN,46978,51201060803,40.86127,-86.50876,POTW,N,1,52574,10.4,97.4
IN0021270,110000759670,RUSHVILLE,IN,46173,51202050403,39.60455,-85.45377,POTW,M,2,48648,16.2,94
IN0024473,110006523155,SEYMOUR,IN,47274,51202060502,38.95583,-85.9313,POTW,M,1,44944,20,82.2
IN0024520,110000578116,SOUTH BEND,IN,46628,40500012207,41.7167,-86.27,POTW,M,44,40265,23.6,61.7
IN0020567,110009975367,SOUTH WHITLEY,IN,46787,51201040401,41.0799,-85.6288,POTW,N,2,46111,19.2,93.2
IN0032972,110000761710,SPEEDWAY,IN,46222-3251,51202011110,39.77161,-86.23328,POTW,M,2,42188,19.3,62.7
IN0024554,110006367056,SULLIVAN,IN,47882,51201111509,39.098827,-87.405713,POTW,M,5,34402,15.8,97.5
IN0024562,110011979403,SUMMITVILLE,IN,46070,51202010403,40.321139,-85.664833,POTW,N,3,50677,18.6,96
IN0021016,110000731968,TELL CITY,IN,47586,51402010703,37.957278,-86.774667,POTW,M,5,44809,15.4,94.7
IN0025607,110000716244,TERRE HAUTE,IN,47802,51201110605,39.428917,-87.431861,POTW,M,10,36406,26.4,82.2
IN0021474,110002045377,TIPTON,IN,46072,51202010605,40.282939,-86.02698,POTW,M,7,52538,11.1,94.5
IN0024660,110002354844,VALPARAISO,IN,46385-4530,40400010302,41.467,-87.076611,POTW,M,1,59533,12.2,91.4
IN0024741,110000732057,WABASH,IN,46992,51201011405,40.79179,-85.82506,POTW,M,8,44973,15.8,96.7
IN0024775,110009979229,WAKARUSA,IN,46573,40500012102,41.543083,-86.040472,POTW,N,6,65673,5.9,93.8
IN0024805,110000571015,WARSAW,IN,46580-2501,51201060204,41.237944,-85.868972,POTW,M,1,55982,12.5,85.5
IN0025658,110000759698,WASHINGTON,IN,47501-3483,51202020903,38.653056,-87.198889,POTW,M,5,41824,17.7,89.2
IN0020711,110009975429,WATERLOO,IN,46793,41000030602,41.43025,-85.01233,POTW,N,1,50536,15.3,97.7
IN0024821,110011998561,WEST LAFAYETTE,IN,479064613,51201080203,40.417224,-86.907424,POTW,M,5,34650,38.5,68
KS0039128,110006367083,ATCHISON,KS,66002-2424,102400110301,39.532358,-95.114635,NON-POTW,M,8,46465,18.2,86.6
KS0038563,110017592292,KANSAS CITY,KS,661181127,102701040607,39.112198,-94.610567,POTW,M,66,45665,19.8,56.9
KS0042722,110000574708,TOPEKA,KS,66616-1327,102701020903,39.07155,-95.64308,POTW,M,6,47999,14.4,78.4
KY0022373,110000732244,ASHLAND,KY,41101,50901030101,38.474722,-82.623611,POTW,M,8,40917,24.5,93.3
KY0035467,110006654147,CATLETTSBURG,KY,41129,50702040406,38.405833,-82.596944,POTW,N,5,28145,33.5,90.2
